Date;Debut;Fin;Langue
2020_05_14;00:00:00;00:13:51;fr
2020_05_14;00:13:52;00:15:39;en
2020_05_14;00:15:40;00:21:17;fr
2020_05_14;00:21:18;00:24:01;en
2020_05_14;00:24:02;00:59:03;fr
2020_05_14;00:59:04;01:13:42;en
2020_05_15;00:00:00;00:14:45;fr
2020_05_15;00:14:46;00:16:18;en
2020_05_15;00:16:19;00:38:50;fr
2020_05_15;00:38:51;00:55:48;en
2020_05_21;00:00:00;00:10:10;fr
2020_05_21;00:10:13;00:11:47;en
2020_05_21;00:11:48;00:38:19;fr
2020_05_21;00:38:20;01:01:41;en
2020_05_25;00:00:00;00:10:17;fr
2020_05_25;00:10:18;00:10:35;en
2020_05_25;00:10:36;00:33:31;fr
2020_05_25;00:33:32;00:50:33;en
2020_06_01;00:00:00;00:13:03;fr
2020_06_01;00:13:04;00:14:50;en
2020_06_01;00:14:51;00:45:37;fr
2020_06_01;00:45:38;00:53:39;en
2020_06_08;00:00:00;00:11:06;fr
2020_06_08;00:11:07;00:12:28;en
2020_06_08;00:12:29;00:27:29;fr
2020_06_08;00:27:30;00:35:02;en
2020_06_15;00:00:00;00:49:15;fr
2020_06_15;00:49:16;00:54:54;en
2020_06_15;00:54:55;00:56:20;fr
2020_06_15;00:56:21;01:01:30;en
2020_06_30;00:00:00;00:10:44;fr
2020_06_30;00:10:45;00:12:53;en
2020_06_30;00:12:54;00:32:44;fr
2020_06_30;00:32:45;00:48:11;en
2020_07_03;00:00:00;01:10:23;fr
2020_07_06;00:00:00;00:07:19;fr
2020_07_06;00:07:20;00:10:07;en
2020_07_06;00:10:08;00:36:16;fr
2020_07_06;00:36:17;00:52:47;en
2020_07_13;00:00:00;00:15:07;fr
2020_07_13;00:15:08;00:16:50;en
2020_07_13;00:16:51;00:32:46;fr
2020_07_13;00:32:48;00:43:52;en
2020_08_03;00:00:00;00:10:20;fr
2020_08_03;00:10:21;00:13:03;en
2020_08_03;00:13:04;00:35:02;fr
2020_08_03;00:35:03;00:41:15;en
2020_08_03;00:41:16;00:46:29;fr
2020_08_03;00:42:30;00:45:30;en
2020_08_03;00:45:31;00:46:55;fr
2020_08_25;00:00:00;00:14:02;fr
2020_08_25;00:14:04;00:16:51;en
2020_08_25;00:16:52;00:39:59;fr
2020_08_25;00:40:00;00:56:38;en
2020_08_27;00:00:00;00:14:56;fr
2020_08_27;00:14:57;00:15:50;en
2020_08_27;00:15:51;00:35:20;fr
2020_08_27;00:35:21;00:51:51;en
2020_08_31;00:00:00;00:10:57;fr
2020_08_31;00:10:58;00:13:12;en
2020_08_31;00:13:13;00:33:38;fr
2020_08_31;00:33:39;00:47:36;en
2020_09_04;00:12:40;00:29:04;fr
2020_09_04;00:00:00;00:32:00;en
2020_09_04;00:32:01;01:01:32;fr
2020_09_04;01:01:33;01:09:23;en
2020_09_08;00:00:00;00:13:40;fr
2020_09_08;00:13:41;00:16:12;en
2020_09_08;00:16:13;00:42:37;fr
2020_09_08;00:42:38;00:50:53;en
2020_09_28;00:00:00;00:11:19;fr
2020_09_28;00:11:20;00:14:14;en
2020_09_28;00:14:15;00:26:27;fr
2020_09_28;00:26:28;00:31:58;en
2020_09_28;00:31:59;00:32:37;fr
2020_09_28;00:32:38;00:35:05;en
2020_09_28;00:35:06;00:38:40;fr
2020_09_28;00:38:41;00:39:44;en
2020_12_07;00:00:00;00:13:17;fr
2020_12_07;00:13:18;00:17:12;en
2020_12_07;00:17:13;00:31:53;fr
2020_12_07;00:31:54;00:44:24;en
2020_12_18;00:00:00;00:06:04;fr
2020_12_18;00:06:04;00:07:30;en
2020_12_18;00:07:30;00:31:46;fr
2020_12_18;00:31:46;00:40:47;en
2020_12_29;00:00:00;00:05:40;fr
2020_12_29;00:05:40;00:08:00;en
2020_12_29;00:08:00;00:39:07;fr
2020_12_29;00:39:07;00:43:25;en
2021_01_14;00:00:00;00:07:56;fr
2021_01_14;00:07:56;00:12:21;en
2021_01_14;00:12:21;00:42:03;fr
2021_01_14;00:42:03;00:58:47;en
2021_06_21;00:00:00;00:10:32;fr
2021_06_21;00:10:32;00:12:45;en
2021_06_21;00:12:45;00:38:29;fr
2021_06_21;00:38:29;00:47:13;en
2021_06_21;00:47:13;00:50:21;fr
2021_07_08;00:00:00;00:10:25;fr
2021_07_08;00:10:25;00:12:49;en
2021_07_08;00:12:49;00:40:20;fr
2021_07_08;00:40:20;00:50:10;en
2021_07_16;00:00:00;00:30:30;fr
2021_07_16;00:30:30;00:41:27;en
2021_08_10;00:00:00;00:12:22;en
2021_08_10;00:12:22;00:32:56;fr
2021_08_10;00:32:56;00:36:30;en
2021_08_10;00:36:30;00:53:30;fr
2021_08_10;00:53:30;00:58:40;en
2021_08_24;00:00:00;00:20:30;fr
2021_08_24;00:20:30;00:24:34;en
2021_08_24;00:24:34;00:47:48;fr
2021_08_24;00:47:48;01:01:21;en
2021_08_31;00:00:00;00:15:57;fr
2021_08_31;00:15:57;00:19:45;en
2021_08_31;00:19:45;00:47:05;fr
2021_08_31;00:47:05;00:57:22;en
2021_09_07;00:00:00;00:12:43;fr
2021_09_07;00:12:43;00:16:35;en
2021_09_07;00:16:35;00:33:49;fr
2021_09_07;00:33:49;00:47:23;en
2021_11_29;00:00:00;00:12:14;fr
2021_11_29;00:12:14;00:16:39;en
2021_11_29;00:16:39;00:40:30;fr
2021_11_29;00:40:30;00:51:26;en
2021_12_14;00:00:00;00:26:55;fr
2021_12_14;00:26:55;00:29:24;en
2021_12_14;00:29:24;01:00:37;fr
2021_12_14;01:00:37;01:14:53;en
2021_12_16;00:00:00;00:22:03;fr
2021_12_16;00:22:03;00:24:35;en
2021_12_16;00:24:35;00:56:00;fr
2021_12_16;00:56:00;01:09:04;en
2021_12_20;00:00:00;00:13:45;fr
2021_12_20;00:13:45;00:16:12;en
2021_12_20;00:16:12;00:49:25;fr
2021_12_20;00:49:25;01:02:08;en
2021_12_28;00:00:00;00:14:04;fr
2021_12_28;00:14:04;00:16:30;en
2021_12_28;00:16:30;00:46:20;fr
2021_12_28;00:46:20;01:00:56;en
2021_12_30;00:00:00;00:18:23;fr
2021_12_30;00:18:23;00:21:07;en
2021_12_30;00:21:07;00:52:14;fr
2022_01_06;00:00:00;00:16:41;fr
2022_01_06;00:16:41;00:19:17;en
2022_01_06;00:19:17;00:48:56;fr
2022_01_06;00:48:56;01:05:52;en
2022_01_18;00:00:00;00:15:37;fr
2022_01_18;00:15:37;00:17:15;en
2022_01_18;00:17:15;00:51:00;fr
2022_01_18;00:51:00;01:10:08;en
2022_01_27;00:00:00;00:16:43;fr
2022_01_27;00:16:43;00:17:30;en
2022_01_27;00:17:30;00:52:45;fr
2022_01_27;00:52:45;01:06:08;en
2022_01_27;01:06:08;01:06:23;fr
2022_02_02;00:00:00;00:57:36;fr
2022_02_02;00:57:36;01:12:22;en
2022_02_02;01:12:22;01:12:37;fr
2022_02_09;00:00:00;00:39:44;fr
2022_02_09;00:39:44;00:51:46;en
2022_02_09;00:51:46;00:51:52;fr
2022_02_23;00:00:00;00:47:35;fr
2022_02_23;00:47:35;01:03:45;en
2022_02_23;01:03:45;01:04:01;fr
2022_03_03;00:00:00;00:40:12;fr
2022_03_03;00:40:12;01:08:41;en
2022_03_03;01:08:41;01:09:23;fr
2022_03_10;00:00:00;00:34:51;fr
2022_03_10;00:34:51;00:54:49;en
2022_03_10;00:54:49;00:55:03;fr
2022_03_23;00:00:00;00:31:23;fr
2022_03_23;00:31:23;00:50:14;en
2022_03_23;00:50:14;00:51:24;fr
2022_03_23;00:51:24;00:52:54;en
2022_03_23;00:52:54;00:53:00;fr
2022_03_27;00:00:00;00:24:42;fr
2022_03_27;00:24:42;00:28:38;en
2022_03_27;00:28:38;00:28:48;fr
2022_04_05;00:00:00;00:31:44;fr
2022_04_05;00:31:44;00:49:50;en
2022_04_05;00:49:50;00:50:01;fr
2022_04_13;00:00:00;00:36:37;fr
2022_04_13;00:36:37;00:45:54;en
2022_04_13;00:45:54;00:53:41;fr
2022_04_13;00:53:41;00:55:09;en
2022_04_13;00:55:09;00:55:17;fr
2022_04_21;00:00:00;00:37:19;fr
2022_04_21;00:37:19;00:46:43;en
2022_04_21;00:46:43;00:50:42;fr
2022_04_21;00:50:42;00:54:50;en
2022_04_21;00:54:50;00:55:01;fr
2022_04_28;00:00:00;00:38:05;fr
2022_04_28;00:38:05;00:57:45;en
2022_04_28;00:57:45;00:57:55;fr
2022_05_04;00:00:00;00:36:58;fr
2022_05_04;00:36:58;00:56:59;en
2022_05_04;00:56:59;00:57:09;fr
2022_05_11;00:00:00;00:37:58;fr
2022_05_11;00:37:58;00:51:01;en
2022_05_11;00:51:01;00:52:14;fr
2022_06_29;00:00:00;00:42:59;fr
2022_06_29;00:42:59;01:03:09;en
2022_06_29;01:03:09;01:06:31;fr
2022_07_07;00:00:00;00:37:51;fr
2022_07_07;00:37:51;00:58:55;en
2022_07_07;00:58:55;01:06:36;fr
2022_07_14;00:00:00;00:15:41;fr
2022_07_14;00:15:41;00:20:34;en
2022_07_14;00:20:34;00:30:55;fr
2022_07_14;00:30:55;00:40:45;en
2022_07_14;00:40:45;00:41:12;fr
2022_07_21;00:00:00;00:31:03;fr
2022_07_21;00:31:03;00:45:01;en
2022_07_21;00:45:01;00:45:13;fr
2020_07_09;00:00:00;00:07:10;fr
2020_07_09;00:07:10;00:09:04;en
2020_07_09;00:09:04;00:35:06;fr
2020_07_09;00:35:06;00:52:08;en
2020_07_10;00:00:00;01:08:25;fr
2020_07_15;00:00:00;00:05:14;fr
2020_07_15;00:05:14;00:07:39;en
2020_07_15;00:07:39;00:40:54;fr
2020_07_15;00:40:54;00:59:47;en
2020_07_16;00:00:00;00:19:08;fr
2020_07_16;00:19:08;00:21:26;en
2020_07_16;00:21:26;01:12:22;fr
2020_07_17;00:00:00;01:07:48;fr
2020_07_27;00:00:00;00:14:34;fr
2020_07_27;00:14:34;00:16:16;en
2020_07_27;00:16:16;01:03:10;fr
2020_07_27;01:03:10;01:27:34;en
2020_08_07;00:00:00;00:27:25;fr
2020_08_07;00:27:25;00:45:34;en
2020_08_07;00:45:34;01:23:08;fr
2020_08_07;01:23:08;01:35:13;en
2020_08_10;00:00:00;00:49:50;fr
2020_08_10;00:49:50;00:56:34;en
2020_08_18;00:00:00;00:25:35;fr
2020_08_18;00:25:35;00:27:36;en
2020_08_18;00:27:36;00:59:27;fr
2020_08_18;00:59:27;01:15:52;en
2020_07_07;00:00:00;00:57:50;fr
2020_07_14;00:00:00;01:01:38;fr
2021_06_15;00:00:00;00:46:44;fr
2021_06_15;00:46:44;01:02:56;en
2021_08_10;00:00:00;00:12:16;en
2021_08_10;00:12:16;00:32:55;fr
2021_08_10;00:32:55;00:36:31;en
2021_08_10;00:36:31;00:58:40;fr
2021_03_12;00:00:00;00:38:15;fr
2021_03_12;00:38:15;00:56:31;en