doc_id;type;Locuteurs;mode
202004021;Conférence sur les aînés de la ministre;McCann, Blais, Dr Nguyen;fusion
202004022;Conférence sur le personnel soignant (hausse de salaire);McCann, Dubé;fusion
202004101;Bilan COVID-19;Legault, Arruda;fusion
202004102;Conférence sur les aînés;McCann;fusion
202004271;Bilan COVID-19;Legault, Arruda;intact
202004272;Conférence ministre de l’éducation;Roberge, Massé;suppression
202005131;Bilan COVID-19;Legault, Arruda;intact
202005132;Conférence Isabelle Charest;Charest;suppression
202005133;Point Presse Guilbault;Guilbault;suppression
202005141;Bilan COVID-19;Legault, Arruda;intact
202005142;Annonce concernant les travaux d’infrastructures pour l’année 2020-2021;Girard, Dubé;suppression
202005201;Bilan COVID-19;Guilbault, Arruda;fusion
202005202;nnonce du gouvernement du Québec concernant la reprise des soins de santé privés ainsi que des soins corporels et esthétiques.;McCann, Arruda;fusion
202005211;Doublon transcription youtube;;intact
202005212;Doublon transcription youtube;;suppression
202005251;Doublon transcription youtube;;Intact
202005252;Doublon transcription youtube;;suppression
202006011;Doublon transcription youtube;;intact
202006012;Doublon transcription youtube;;suppression
202006031;Point presse McCann;;intact
202006032; Mesures pour atténuer les effets de la pandémie et relancer rapidement l'économie québécoise.;Dubé;suppression
202006081;Bilan COVID-19;Legault, Arruda;fusion
202006082;Annonce concernant la reprise des activités dans le secteur de la restauration.;Massé;fusion
202006221;point de presse concernant les ajustements aux responsabilités de certains membres du Conseil des ministres;;suppression
202006222;Situation sur les feux de forêts.;;suppression
202006301;Doublon transcription youtube;;intact
202006302;Doublon transcription youtube;;suppression
202009171;Bilan COVID-19;Dubé;fusion
202009172;Point de presse quotidien du premier ministre du Québec.;Legault;fusion
202009173;Point de presse quotidien du premier ministre du Québec.;Legault;fusion
202010081;Bilan COVID-19;Dubé;fusion
202010082;Point de presse quotidien du premier ministre du Québec.;Legault;fusion
202010083;Point de presse quotidien du premier ministre du Québec — doublon;Legault;suppression
202012101;Point presse Dubé;Dubé;suppression
202012102;Bilan COVID-19;Legault;intact
202104221;Bilan COVID-19;Dubé, Arruda;fusion
202104222;Point de presse quotidien du premier ministre du Québec.;Legault;fusion
202105271;Conférence Dubé;Dubé;fusion
202105272;Conférence Legault;Legault;fusion